Japanese,English
岩,rock
岡,hill
職,Job
善,good
鼻,nose
済,done
毒,poison
陽,Positive
乱,Turbulence
個,Individual
儀,Ceremony
伸,Extension
犬,dog
権,Right
鉄,iron
盛,Prosperity
寒,Coldness
育,Raising
涙,tears
焼,Baking
演,Performance
任,Appointment
魔,Devil
肩,shoulder
養,Cultivation
接,Contact
姉,sister
甲,Shell
響,sound
僧,monk
黄,yellow
寸,Size
即,Immediately
唯,Only
照,Lighting
弁,valve
竹,bamboo
枝,branch
隊,Squad
壁,wall
智,Wisdom
務,Duties
婚,Marriage
囲,Surrounding
籠,basket
筈,Should
描,Drawing
駄,Dust
狂,Madness
湯,Hot water
因,Cause
易,Easy
怒,Anger
条,Articles
星,Star
境,Border
飯,food
枚,Sheet
積,product
訪,Visiting
習,Training
布,cloth
束,bundle
制,Control
雄,Male
周,Circumference
森,forest
局,Bureau
街,Town
踏,Stepping on
祖,Ancestor
印,mark
低,Low
休,Rest
露,Dew
移,Transition
帯,band
怖,fear
柄,Pattern
秀,Excellent
館,Mansion
捨,Discarding
訊,Inquiry
荒,Rough
児,child
魚,fish
郷,Home
午,Noon
園,Garden
國,Country
灯,light
英,British
危,Danger
玄,Tendency
傍,Side
津,Tap
坂,Slope
婆,hag
旦,Dan
倉,Warehouse
固,Solid
逢,Meeting
織,Weaving
欲,Greed
銭,Money
述,Description
斯,This
亡,Death
晴,Sunny
府,Prefecture
香,Incense
傷,scratch
価,Value
騒,Noise
席,seat
秘,Secret
払,Payment
跡,Trace
令,Order
皇,Emperor
學,Learning
護,Protection
純,Purity
處,Place
軒,Eaves
承,Consent
割,Percentage
尊,Your preciousness
普,Common
群,group
紅,deep red
沈,Sinking
映,Film
妹,younger sister
勇,Bravery
皮,leather
領,Territory
短,Short
樹,Tree
呉,Wil
温,Warmth
聴,Hearing
激,Intense
号,issue
筋,logic
章,chapter
著,Book
這,Crawling
霊,Spirit
便,Stool
害,harm
迷,Hesitation
装,Dressing
奉,Serving
箱,box
徒,Man
薬,medicine
冬,winter
舎,House
頂,Top
隣,next
牛,Cow
詰,Clan
昼,noon
各,each
包,Parcel
備,Equipment
輪,ring
鏡,mirror
酔,Drunk
速,Speed
遣,Religion
甚,Intense
燈,Lamp
穴,hole
統,Consolidation
互,Mutual
實,Reality
列,Row
忠,Loyalty
増,Increase
滅,Destruction
宅,home
栄,Prosperity
量,amount
完,Complete
貧,Poverty
試,Trial
否,no
借,Borrowing
杯,Cup
挙,Raising
層,layer
捕,Capturing
浪,Wandering
般,General
殊,Particularly
提,Proposal
忍,Shyness
崎,Sizzle
到,At all
農,Agriculture
技,Technique
値,value
芝,Turf
傾,Inclination
臣,Minister
紀,Culmination
浅,Shallow
復,Restoration
尋,Interrogation
虫,insect
迎,Welcome
荷,load
吸,Sucking
就,Employment
資,Funds
選,Election
遺,Remains
洗,Washing
屈,Flexion
當,Inexperienced
脱,Take off
刺,thorn
阿,Ah
池,pond
触,Touch
伯,Quint
染,Dyeing
植,Planting
梅,plum
陰,shadow
哲,Intent
総,Total
惑,Confusion
既,Already
伏,Lying down
犯,Crime
撃,Strike
魂,soul
依,Dependence
暴,violence
叔,Aunt
凡,Ordinary
翌,Next
哀,Sorrow
了,Completion
幕,curtain
納,Payment
懐,bosom
敬,Perception
閉,Closing
膝,knees
勿,Inevitably
修,Training
仮,tentative
懸,Clay
泉,Fountain
恥,shame
射,Shooting
健,Healthy
才,Talent
珍,rare
棒,rod
柳,willow
厳,Strictness
隅,corner
帝,Emperor
聖,Sacred
瞬,Instant
威,Powerful
顏,Face
迫,Close
闇,darkness
邪,evil
額,amount
級,Class
俗,Worldly
體,Body
殆,Mostly
鬼,demon
剣,sword
憶,Reminiscence
逆,reverse
泊,Night
宜,Congratulations
充,Substitute
基,Base
砂,sand
辞,Resignation
舟,boat
暫,For a long time
油,oil
伴,Accompaniment
拠,Base
障,Disability
随,Equity
姓,Surname
嬢,Young lady
趣,Tendency
推,Presence
称,Name
順,order
祭,Festival
斎,Flaw
頬,cheek
握,Grip
疲,Tired
被,Covering
侍,samurai
爺,Grandfather
勤,Service
憎,Hatred
陸,land
陣,Team
惜,Regret
麗,Charm
